NU_ANO,CO_CURSO,CO_IES,CO_GRUPO,QE_I28,QE_I29,QE_I30,QE_I34,QE_I37,QE_I41,QE_I43,QE_I44,QE_I47,QE_I48,QE_I49,QE_I57,QE_I61,QE_I62,QE_I63
2014,99198,2,2501,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
2014,99778,2,2501,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0
2014,99860,2,2501,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2014,99876,2,2501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2014,99940,2,2501,6.0,4.0,5.0,5.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
2014,99950,2,2501,4.0,4.0,3.0,3.0,3.0,2.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2014,99952,2,2501,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0
2014,100305,2,2501,5.0,4.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,100363,2,2501,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0
2014,100728,2,2501,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0
2014,100728,2,2501,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,100728,2,2501,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,100740,2,2501,6.0,6.0,6.0,6.0,4.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,4.0,7.0,7.0
2014,101641,2,2501,5.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,4.0,1.0,5.0,6.0,6.0,6.0,6.0
2014,101747,2,2501,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0
2014,102210,2,2501,5.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,4.0,4.0
2014,102280,2,2501,5.0,6.0,4.0,4.0,6.0,5.0,8.0,8.0,6.0,6.0,5.0,6.0,3.0,6.0,6.0
2014,102454,2,2501,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,102869,2,2501,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,7.0
2014,103338,2,2501,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,106038,2,2501,5.0,5.0,6.0,6.0,6.0,4.0,3.0,3.0,5.0,4.0,5.0,6.0,2.0,5.0,5.0
2014,106544,2,2501,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
2014,106544,2,2501,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0
2014,109262,2,2501,5.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0
2014,109356,2,2501,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,1.0,7.0
2014,109394,2,2501,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0
2014,109954,2,2501,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0
2014,110552,2,2501,5.0,3.0,3.0,6.0,4.0,3.0,2.0,4.0,6.0,6.0,5.0,6.0,2.0,3.0,3.0
2014,111116,2,2501,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0
2014,111172,2,2501,4.0,6.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0
2014,111254,2,2501,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2014,111370,2,2501,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0
2014,112094,2,2501,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0
2014,112102,2,2501,5.0,6.0,6.0,5.0,5.0,6.0,7.0,2.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0
2014,113126,2,2501,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
2014,114236,2,2501,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
2014,115098,2,2501,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0
2014,115965,2,3502,5.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0
2014,117336,2,3502,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0
2014,118534,2,3502,5.0,8.0,4.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0
2014,119046,2,3502,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
2014,121044,2,3502,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0
2014,121115,2,3502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,123404,2,3502,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,6.0,6.0,6.0
2014,123470,2,3502,5.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0
2014,123472,2,3502,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
2014,300520,2,3502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0
2014,312817,2,3502,3.0,4.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0
2014,1059199,2,3502,6.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0
2014,1083438,2,3502,8.0,5.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,6.0
2014,1102924,2,3502,5.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0
2014,1110447,2,3502,5.0,4.0,4.0,6.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0
2014,1112659,2,3502,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0
2014,1121613,2,3502,5.0,4.0,6.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0
2014,1149309,2,3502,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0
2014,1150372,2,3502,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2014,1153384,2,3502,6.0,6.0,6.0,5.0,6.0,4.0,1.0,1.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0
2014,1177904,2,3502,5.0,6.0,5.0,6.0,6.0,3.0,1.0,1.0,5.0,5.0,5.0,6.0,3.0,3.0,2.0
2014,1178905,2,3502,5.0,4.0,4.0,4.0,5.0,3.0,7.0,5.0,6.0,4.0,5.0,5.0,3.0,3.0,4.0
2014,1181046,2,3502,4.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,3.0
2014,1203136,2,3502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0
2014,5000282,2,3502,6.0,5.0,6.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014,5000312,2,3502,3.0,6.0,5.0,8.0,5.0,6.0,5.0,8.0,6.0,6.0,7.0,6.0,4.0,6.0,5.0
2014,950,2,3502,5.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0
